DATE,NAEXKP01INQ652S
2015-01-01,26971721742979.8
2015-04-01,27549388899951.2
2015-07-01,28058012375764.703
2015-10-01,28628298924359.2
2016-01-01,29459209689924.902
2016-04-01,29983851250545.3
2016-07-01,30670952021198.7
2016-10-01,31089255960530.203
2017-01-01,31337876037725.7
2017-04-01,31983024600919.5
2017-07-01,32510155466015.1
2017-10-01,33120849140801.7
2018-01-01,33831788552263.7
2018-04-01,34274685144131.203
2018-07-01,34754264105636.402
2018-10-01,35268153779464.7
2019-01-01,35632056400767.8
2019-04-01,36148806427725.195
2019-07-01,36350447241171.0
2019-10-01,36405071748323.305
2020-01-01,36442081112780.5
2020-04-01,28224456874513.797
2020-07-01,34591648354274.098
2020-10-01,36774539968771.4
2021-01-01,37280533072440.7
2021-04-01,34480367122241.4
2021-07-01,37701861934107.91
2021-10-01,38450231660284.3
2022-01-01,38625942933366.3
2022-04-01,39069981640984.1
2022-07-01,39807665701787.6
2022-10-01,40206973914260.7
2023-01-01,40979633012967.6
